word,arti,contoh,bahasa
BAKUT,perkosa,,
BALAD,negeri,,Arab
BALAH,bantah,,
BALAI,gedung,,
BALAK,belang,,
BALAM,tekukur,,
BALAN,batu dan sebagainya yang menghalang aliran air dalam sungai,,
BALAP,(lomba) adu kecepatan,-- mobil,
BALAR,putih karena bulai (tentang kerbau),,
BALAS,jawaban,,
BALAU,nama berbagai macam pohon,,
BALEG,badan legislatif,,akronim
BALEK,"permainan tradisional yang dimainkan dengan cara melempar kaleng yang berisi uang mainan dengan batu, jarak pemain dengan objek sekitar 100 meter, jumlah pemain maksimal delapan orang",,
BALEN,pajak atas tanah apanase yang harus dibayar oleh pemerintah desa tersebut (di Madura),,
BALET,"tari yang melukiskan suatu kisah (drama), boleh ditarikan oleh seseorang atau oleh kelompok orang",,
BALIG,akil balig,,
BALIK,sisi yang sebelah belakang dari yang kita lihat,bersembunyi di -- pintu,
BALIM,memaksakan keinginan dengan ancaman,"kalau kau menginginkannya, jangan -- seperti itu",Melayu Riau
BALIN,"tulang penyaring yang terbuat dari keratin dan tersusun dalam lempeng yang melintasi rahang atas paus dengan kisaran panjang antara 0,4—3,5 m",,Biologi
BALIO,"suling kecil berlubang 2, 3, atau 4 yang dimainkan oleh petani dan penggembala di sekitar danau Sidenreng, Sulawesi",,Musik
BALIT,→ belit,,
BALIU,memenggal kepala (di pedalaman Kalimantan),,Hukum
BALOH,bulatan yang dipasang di sisi kiri dan kanan jaring,,Jawa
BALOK,"batang kayu yang telah dirimbas, tetapi belum dijadikan papan dan sebagainya",tiang-tiang rumah itu dibuat dari --,
BALON,"bola atau pundi-pundi besar dibuat dari karet (kertas, kain, dan sebagainya) yang diisi udara (gas yang ringan)",,
BALOT,suara yang diberikan dalam pemilihan,,Politik dan Pemerintahan
BALUH,kayu rangka tempat duduk (di punggung gajah),,
BALUI,tidak ada yang menang dan tidak ada yang kalah,,Minangkabau
BALUK,perahu muatan,,Klasik
BALUN,pukul,,Klasik
BALUR,batu seperti kaca,,
BALUT,(kain dan sebagainya) pengikat atau pembebat luka,,
BAMBO,"wabah virus, biasanya menyerang hewan piaraan, virusnya sangat cepat dan mematikan",,Manggarai
BAMBU,"tumbuhan berumpun, berakar serabut yang batangnya bulat berongga, beruas, keras, dan tinggi (antara 10—20 m), digunakan sebagai bahan bangunan rumah dan perabot rumah tangga",,
BAMUS,badan musyawarah,,akronim
BANAI,porak-poranda,,Melayu Belitung
BANAL,kasar (tidak elok),"beberapa sajak yang lemah, malahan sangat --",
BANAR,→ akar,,
BANAS,"sampah sungai, misalnya barang atau benda yang dibuang ke sungai karena tidak terpakai lagi dan sebagainya atau kotoran seperti daun dan kertas",ketika banjir -- menyumbat aliran sungai,Melayu Kalimantan
BANAT,kain lakan yang halus dibuat dari bulu (domba),,
BANCI,tidak berjenis laki-laki dan juga tidak berjenis perempuan,,
BANDA,kekayaan,,Jawa
BANDO,benda pipih melengkung (setengah lingkaran) terbuat dari plastik dan sebagainya untuk mengatur rambut bagian depan (terutama pada anak perempuan),,
BANDU,bendu,,Klasik
BANGA,"tempat minum, terbuat dari tempurung kelapa",,Kaili
BANGI,"umpan yang dipasang di mata pancing berupa cacing, udang, atau ikan kecil",persiapan -- harus memadai agar mendapatkan hasil pancingan yang banyak,Jawa
BANGO,kulit sawi,,
BANIR,"akar yang menganjur ke luar menyerupai dinding penopang pohon (pada pangkal pohon, seperti pada pohon kenari dan beringin)",,
BANIU,akar kayu yang muncul di permukaan tanah,kami kesulitan menebang pohon durian itu karena --nya sangat lebar,Melayu Riau
BANJI,"kisi-kisi hiasan yang dibuat dari kayu atau porselen, dipasang di langkan, di atas jendela, dan sebagainya",,Cina
BANJO,banyo,,Musik
BANSA,"keranjang kecil dibuat dari anyaman bambu, digunakan untuk  buang air kecil bagi gadis yang dipingit",,Muna
BANTA,"rumput sawah, daunnya pipih dan tajam",,Banjar
BANTI,"taring yang tumbuh pertama kali pada anak kuda, tanda bahwa kuda tersebut sudah mulai dapat diberi beban",,Minangkabau
BANTO,alat untuk mengambil tali ujung jaring,,Madura
BANTU,tolong,--lah orang miskin dan melarat,
BANUA,"masyarakat hukum adat, baik yang mencakupi rumah yang didiami keluarga virilokal maupun yang mencakupi keluarga, baik batih maupun yang sudah kawin (di Nias)",,Antropologi
BANYA,"perahu dayung berukuran kecil yang digerakkan oleh 20 orang pendayung (10 orang di sisi kanan dan kiri), dikomandani oleh seorang kapitan laut, dirancang khusus untuk keperluan angkatan laut pada masa Kesultanan Buton",,Wolio
BANYO,alat musik berdawai sejenis gitar berleher panjang dengan badan berbentuk rebana yang bagian depannya ditutup dengan kulit tipis yang diregang,,
BANYU,barang cair untuk menghitamkan gigi (dibuat dari air kelapa dengan bakaran besi tua atau arang tempurung kelapa dan sebagainya),,Klasik
BANZI,bantuan zeni,,Kemiliteran
BAONG,hantu berbadan orang dan berkepala anjing atau beruang,,Using
BAPAK,orang tua kandung laki-laki,,
BAPAO,→ bakpao,,
BAPER,(ter)bawa perasaan,,Cakapan
BAPET,tidak mempunyai uang,,Melayu Jakarta
BAPRA,pagar batu bata,-- akan menambah kesan artistik sebuah rumah,Jawa
BARAH,bengkak yang mengandung nanah (karena infeksi),,
BARAI,siput laut yang dapat dimakan,,
BARAK,sebuah atau sekumpulan gedung tempat tinggal tentara,,
BARAN,hutan yang berawa-rawa atau berpaya-paya,,Arkais
BARAP,cari: pembarap,,prakategorial
BARAS,→ abras,,
BARAT,nama mata angin yang arahnya berlawanan dengan timur,matahari terbenam di sebelah --,
BARAU,"suku bangsa yang mendiami daerah pesisir Teluk Bintuni di Kabupaten Fakfak, Provinsi Papua",,
BARDI,"pohon kecil yang tumbuh di tepi Sungai Nil, batangnya seperti tebu atau bambu cina, daunnya seperti sapu",,Arkais
BAREL,"satuan ukuran isi, sama dengan 158,97 liter atau 42 galon",,
BAREN,alat yang memberikan tekanan pada bagian belakang kertas untuk membantu tinta agar menempel,,
BAREP,→ barap (1),,
BARET,"goresan (pada kulit, kaca)",,Cakapan
BARGA,sanak,,
BARID,utusan (yang mengantarkan surat dan sebagainya),,
BARIK,"cari: barik-barik, berbarik-barik",,prakategorial
BARIS,sejumlah objek dalam rangkaian yang teratur atau urutan yang tidak terputus,tiap petak ditanami sepuluh -- pohon ketela,
BARIT,barium sulfat alamiah,,Kimia
BARLI,"tumbuhan padi-padian, bijinya dipakai sebagai bahan pembuat bir dan wiski",,
BAROK,"ciri-ciri tertentu yang dimiliki oleh tokoh drama tragedi (seperti sikap agung, tidak langsung)",,Sastra
BARON,gelar bangsawan di Eropa,,
BAROS,manglid,,Botani
BARSO,kekasih,,
BARUA,muncikari,,Arkais
BARUH,tanah yang lebih rendah,,
BARUN,bahan pakaian atau selimut yang dibuat dari kulit kayu,,Benuaq
BARUR,parit berukuran besar,,Batak
BARUT,kain pembalut luka,,
BARZA,→ barzakh,,
BASAH,mengandung air atau barang cair,bajunya -- kena hujan,
BASAL,"batuan beku berwarna gelap, berbutir halus, yang umumnya merupakan pembekuan lava dari gunung api",,Geografi dan Geologi
BASAP,"suku bangsa yang mendiami daerah bagian hilir dan muara Sungai Sembakung dan Sesayap di Kabupaten Bulungan, Provinsi Kalimantan Timur",,
BASAR,"salah satu sifat melihat, sifat yang wajib bagi Allah",,
BASAT,harapan dalam hati nurani untuk memperoleh rahmat dan keridaan Allah Swt.,,Agama Islam
BASAU,tidak empuk,,
BASIC,bahasa pemrograman sederhana yang dirancang untuk pemrograman dengan cepat dan mudah oleh mahasiswa dan pemula,,singkatan
BASIL,bakteri yang berbentuk batang,,Biologi
BASIN,relief permukaan bumi berbentuk baskom atau belanga,,Geografi dan Geologi
BASIR,terang dan tajam pengamatannya (tentang Allah swt),Albasir Yang Mahatahu,Agama Islam
BASIS,asas,,
BASMI,tumpas,,
BASUH,cuci (dengan air),,
BASUR,"menjadi bengkak karena penyakit (tentang kaki, badan)",kakinya -- karena penyakit biri-biri,Gayo
BASUT,pancaran (air),,Klasik
BATAI,"pohon tropis dari marga Paraserianthes, ada beberapa jenis, seperti Albizzia falcataris, Paraserianthes falcataris dan Paraserianthes pullenii",,Botani
BATAK,petualang,,Sastra
BATAL,tidak berlaku,perjanjian itu dinyatakan --,
BATAN,"Badan Tenaga Atom Nasional (lembaga pemerintah nonkementerian yang bertugas di bidang penelitian, pengembangan, dan pemanfaatan tenaga nuklir)",,akronim
BATAS,"garis (sisi) yang menjadi perhinggaan suatu bidang (ruang, daerah, dan sebagainya)",mana -- kebun ini?,
BATAT,tumbuh dan berkembang dengan sendirinya,,Alas
BATAU,→ baktau,,
BATEH,saudara sedarah hasil perkawinan inses,,Jawa
BATEK,"tali panjang yang digunakan saat berlayar, biasanya untuk mengikat jaring penangkap ikan atau keperluan lain di atas kapal",,Jawa
BATEL,"perahu layar, terbuat dari kayu, bertiang dua (dari Malabar atau Zanzibar)",,Klasik
BATIH,orang seisi rumah yang menjadi tanggungan seseorang,,
BATIK,"kain bergambar yang pembuatannya secara khusus dengan menuliskan atau menerakan malam pada kain itu, kemudian pengolahannya melalui proses tertentu",,
BATIL,"pencedok air, dibuat dari tempurung",,
BATIN,sesuatu yang terdapat di dalam hati,ia menceritakan apa yang terasa dalam --nya,
BATIS,kain yang tipis dan halus,,
BATOK,tempurung,,Jawa
BATON,serahan atau hadiah yang disampaikan pada upacara pelamaran gadis,,Madura
BATUA,kelompok masyarakat terendah atau kelompok budak,,Wolio
BATUI,"potongan atau irisan daging, umbut, ubi kayu dalam sayur",,
BATUK,penyakit pada jalan pernapasan atau paru-paru yang kerap kali menimbulkan rasa gatal pada tenggorok sehingga merangsang penderita mengeluarkan bunyi yang keras seperti menyalak (ada banyak macam namanya),sudah sebulan lamanya ia menderita --,
BATUN,"pohon yang tingginya mencapai 30 m, daun menjari, membundar telur, membundar telur sungsang, atau lonjong, daun kasap, tangkai daun memerisai, bunga berbentuk jari dengan warna putih, buah kasap berbentuk kapsul, kayu ringan tetapi awet, bunga berkhasiat sebagai obat, daun digunakan untuk alas dan penguat atap",,Botani
BATUR,tumpukan batu yang dibuat agar ikan berkumpul di tempat itu,,Gayo
BAUNG,"ikan air tawar yang ukurannya dapat mencapai 57 cm, tidak bersisik, mata tertutup oleh kulit, mempunyai sirip lemak, sungut umumnya lebih pendek daripada kepala, warnanya perak kekuningan, tersebar di Sumatra, Jawa, dan Kalimantan",,
BAUZI,"suku bangsa yang mendiami daerah aliran sungai di Kabupaten Jayapura, Provinsi Papua",,
BAWAB,penunggu (penjaga pintu),,Arab
BAWAH,"tempat (letak, sisi, bagian, arah) yang lebih rendah","-- duli (kadam, kaus, cerpu) kata penghormatan terhadap raja",
BAWAK,kulit kerbau,,Minangkabau
BAWAL,"ikan laut yang panjangnya mencapai 60 cm, badannya tinggi, oval, dan pipih, mulut kecil, ekor bercabang, memiliki satu sirip punggung, sirip dubur biasanya memiliki 2—6 duri dan 30—50 jari-jari lunak, pada individu dewasa tidak terdapat sirip perut, termasuk suku Stromateidae dan beberapa spesies anggota Carangidae dan Bramidae, hidup di dasar berpasir dan berlumpur, tersebar di perairan sirkumglobal tropis dan subtropis",,
BAWAS,badan pengawasan,,akronim
BAWAT,payung kebesaran (bertangkai panjang dan warnanya sesuai dengan pangkat pembesar yang memakainya),,
BAWEL,suka mencela,,
BAWON,pembagian upah menuai padi yang berdasarkan banyak sedikitnya padi yang dipotong,,Jawa
BAWOR,"anak bungsu tokoh Semar dalam cerita wayang versi Banyumas, selalu membawa senjata berupa kudi, memiliki sifat jujur dan selalu berbicara apa adanya",,
BAYAH,itik betina domestikasi yang siap bertelur,,
BAYAK,"terlampau besar atau gemuk, tetapi kurang tinggi",,
BAYAM,"nama kelompok sayuran daun, bentuk daunnya bulat telur dengan ujung meruncing dan urat-urat yang jelas, bunganya berbentuk malai yang tegak (banyak macamnya, ada yang dibuat sayur, ada yang untuk obat)",,
BAYAN,"burung termasuk keluarga kakaktua, membuat sarang di lubang pohon, yang jantan sebagian besar bulunya berwarna hijau terang, sedangkan yang betina berwarna merah campur biru",,
BAYAR,beri uang untuk ditukar dengan sesuatu,,
BAYAS,"nama pohon palem, umbutnya dianggap orang enak dimakan",,
BAYAT,→ baiat,,
BAYEM,→ bayam (1),,
BAYUH,hak istri yang dimadu atas suaminya,,
BAYUN,cari: pembayun,,prakategorial
BAYUR,"pohon yang tingginya mencapai 50 m, daunnya lonjong asimetris dengan permukaan bawah berwarna perak dan berambut, bunganya berbentuk tandan panjang berwarna kuning muda, buahnya berbentuk kapsul dan dapat merekah dengan warna cokelat dan berambut, kayunya digunakan bahan bangunan dan mebel",,Botani
BAZAR,pasar yang sengaja diselenggarakan untuk jangka waktu beberapa hari,,
BAZIS,"badan amil, zakat, infak, dan sedekah (lembaga nonstruktural pemerintah daerah di bidang pengumpulan dan pendayagunaan zakat, infak, dan sedekah)",,singkatan
BEBAK,lahan baru hasil menebas hutan yang sudah dibagi menjadi petak-petak,,
BEBAL,sukar mengerti,,
BEBAN,"barang (yang berat) yang dibawa (dipikul, dijunjung, dan sebagainya)",mana boleh kuda ini diberi -- yang seberat itu,
BEBAR,lari ke sana kemari,,
BEBAS,"lepas sama sekali (tidak terhalang, terganggu, dan sebagainya sehingga dapat bergerak, berbicara, berbuat, dan sebagainya dengan leluasa)",tiap anggota -- mengemukakan pendapat,
BEBAT,perban,,
BEBEK,itik domestikasi,,
BEBEL,bebal,,Cakapan
BEBER,"cari: beberan, membeber, membeberkan, pembeber, pembeberan, terbeber, terbeberkan",,prakategorial
BEBOP,jaz yang memiliki irama dan harmoni yang kompleks,,Musik
BECAK,"kendaraan umum seperti sepeda tidak bermotor beroda tiga, bertutup (tutupnya dapat dibuka), satu sadel di belakang, tempat duduk untuk penumpang di depan, dijalankan dengan tenaga manusia (pengemudinya duduk di belakang)",,
BECEK,berair dan berlumpur,"kalau hujan, jalan ke rumahnya --",
BECIK,alat pertukangan untuk membuat garis lurus,,Banjar
BECUK,ikan laut,,
BECUS,cakap,karyawan yang tidak -- bekerja akan diganti,Cakapan
BEDAH,pengobatan penyakit dengan jalan memotong (mengiris dan sebagainya) bagian tubuh yang sakit,,Kedokteran dan Fisiologi
BEDAK,"penganan yang terbuat dari tepung beras mentah dicampur gula merah, lazim dibuat pada acara memasuki rumah baru",,Bugis
BEDAL,pukul,,
BEDAN,bengkak-bengkak merah pada kulit (bekas kena pukul atau garuk),,
BEDAR,→ bidar,,
BEDEL,bedah,,
BEDIH,"pohon yang tingginya mencapai 30 m, daun membundar telur atau elips, buah buni berwarna jingga, kayu dapat digunakan untuk berbagai keperluan",,Botani
BEDIL,senjata api (terutama senapan model kuno),,
BEDOL,cabut,,
BEDOR,bagian yang runcing pada ujung anak panah,,Jawa
BEDUK,gendang besar (di surau atau masjid yang dipukul untuk memberitahukan waktu salat),,
BEGAH,berasa penuh di perut karena terlalu kenyang dan sebagainya,,Melayu Jakarta
BEGAL,perampas,,
BEGAP,gemuk dan tegap (tentang tubuh),,
BEGAR,→ bega (2),,
BEGOG,anak monyet,,Sunda
BEGUK,bengkak (radang) pada kelenjar ludah leher,,
BEHEL,kawat gigi,,
BEJAT,"rusak (anyaman, sol sepatu, dan sebagainya)",tikar itu -- karena dimakan tikus,Jawa
BEKAH,rekah,,Klasik
BEKAL,"sesuatu yang disediakan (seperti makanan, uang) untuk digunakan dalam perjalanan",mereka membawa -- dalam perjalanan,
BEKAM,"cari: membekam, pembekam",,prakategorial
BEKAP,sumbat,,
BEKAS,"tanda yang tertinggal atau tersisa (sesudah dipegang, diinjak, dilalui, dan sebagainya)",ada -- ban mobil di halaman,
BEKAT,banyak (rapat) sekali,,Klasik
BEKEL,"permainan dengan sebuah bola karet kecil dan buah mainan berupa kerang (siput laut, dan sebagainya yang berjumlah 4, 6, atau 8, dan seterusnya), yang dilakukan dengan cara melambungkan bola ke atas, sementara bola melambung, buah mainan diatur dan disusun sesuai dengan aturan permainan, kemudian disauk dengan tangan kanan, dan sekaligus setelah itu menangkap bola yang sedang dilambungkan",,
BEKEN,terkenal,ia dihormati di mana-mana karena ayahnya mempunyai nama yang --,Cakapan
BEKER,jam yang dilengkapi dengan alat yang dapat berdering pada waktu yang dikehendaki (untuk membangunkan orang),,
BEKIL,bambangan,,
BEKUK,lipat,,
BELAH,celah retak yang besar dan panjang dari suatu benda,banyak kutu busuk bersembunyi pada -- papan tempat tidur itu,
BELAI,elus,,
BELAK,belang putih pada kulit (karena suatu penyakit),,
BELAM,cari: membelam,,prakategorial
BELAN,rintangan,,
BELAR,"cari: membelar, selar-belar",,prakategorial
BELAS,perasaan iba atau sedih melihat orang lain menderita,muncul rasa --nya melihat pengemis tua itu,
BELAT,"bilah bambu yang dijalin dengan ijuk atau rotan, dipakai untuk mengurung ikan di laut atau di sungai",,
BELAU,"tepung biru sebagai bahan pencampur air pembilas cucian agar warna pakaian menjadi kebiru-biruan, biasanya untuk pakaian putih",,
BELDU,→ beludru,,
BELED,→ beleid,,
BELEK,penyakit yang menyebabkan mata merah dan berair serta banyak mengeluarkan kotoran mata,,Cakapan
BELEL,"sudah pudar warnanya, rusak jahitannya (tentang pakaian)",ia pergi memakai celana panjang yang sudah -- dan bersandal jepit,
BELER,mabuk,,Cakapan
BELIA,muda sekali,,
BELIK,mata air kecil,,
BELIO,sapaan untuk bapak yang anaknya meninggal di tempat lain (misalnya di perantauan),,
BELIS,→ iblis,,
BELIT,sesuatu yang berbentuk atau dibentuk memutar atau melingkar (seperti lingkaran tali atau benang pada kumparan),,
BELOH,bodoh,,Arkais
BELOK,berubah arah atau haluan (ke kanan atau kiri),,
BELOM,Lom,,
BELON,belum lolos dari daerah penjagaan (pada permainan galah panjang),,
BELOT,"cari: membelot, pembelot, pembelotan",,prakategorial
BELTA,perdu atau pohon yang sangat muda sehingga masih dapat dijadikan bibit,,Madura
BELUK,kesenian berupa pembacaan cerita dengan ditembangkan secara bergilir,,Sunda
BELUM,masih dalam keadaan tidak,ia -- dewasa,Adverbia
BELUR,→ balur (4),,
BELUS,"mudah lulus (lepas) karena longgar (tentang celana, cincin, dan sebagainya)",,
BELUT,mata pisau,,Batak
BENAH,"cari: berbenah, membenahi, pembenah, pembenahan",,prakategorial
BENAK,"isi tulang bertekstur lunak, terdiri atas sel lemak dan butir darah yang sudah matang, berfungsi sebagai persediaan pengganti sel dan butir darah yang rusak",,
BENAM,"memasukkan ke dalam air, lumpur, dan sebagainya",,
BENAR,sesuai sebagaimana adanya (seharusnya),apa yang dikatakannya itu --,
BENCI,sangat tidak suka,saya -- kepada penjilat,
BENDA,segala yang ada dalam alam yang berwujud atau berjasad (bukan roh),,
BENDE,canang,,
BENDI,kereta beroda dua yang ditarik oleh seekor kuda dengan pengemudi di depan,,
BENDO,parang,,Jawa
BENDU,sahabat,,Klasik
BENEP,arwah orang kaya,,Muyu
BENET,menyisipkan kayu atau ranting pohon pada pagar supaya terlihat rapat dan rapi,,Gayo
BENGA,membelah sesuatu tanpa membuatnya terpisah,kakak -- bambu sehingga terlihat bagian dalamnya,
BENGU,berbau tidak sedap (seperti bau tembakau yang sudah lama disimpan),,Melayu Jakarta
BENIH,biji atau buah yang disediakan untuk ditanam atau disemaikan,yang akan dijadikan -- haruslah buah yang baik dan cukup tua,
BENIK,kancing yang menempel pada baju,,
BENIN,"negara yang terletak di Afrika Barat, beribu kota Porto-Novo",,
BENOH,mengangkat padi yang sudah dipotong,,Gayo
BENSE,kesatuan keluarga luas terbatas yang terdiri atas beberapa keluarga inti dalam masyarakat suku Balantak,,
BENTA,bisul dalam daging (di bibir sebelah atas),,Arkais
BENTO,"bekal makanan ala Jepang, biasanya berisi nasi dan lauk-pauk dengan tampilan yang menarik",,Jepang
BENUA,"bagian bumi berupa tanah atau daratan yang sangat luas sehingga bagian tengah benua itu tidak mendapat pengaruh langsung dari angin laut (seperti Eropa, Australia, Amerika, Afrika, dan Asia)",,
BENUM,"cari: benuman, membenum",,prakategorial
BENUR,benih udang yang hampir tidak kasatmata,,
BERAI,"cari: berberaian, memberai-beraikan",,prakategorial
BERAK,buang kotoran,anak kecil mempunyai kebiasaan -- di celana,
BERAM,minuman keras yang terbuat dari air tapai,,
BERAS,padi yang telah terkelupas kulitnya (yang menjadi nasi setelah ditanak),,
BERAT,besar ukurannya (di antara jenisnya atau benda-benda yang serupa),"alat-alat -- mobil derek, traktor, dan sebagainya",
BERAU,"suku bangsa yang mendiami wilayah Kabupaten Berau, Provinsi Kalimantan Timur, termasuk suku bangsa Kelabit",,
BEREK,ikan yang sudah rusak dan berbau,,Jawa
BEREO,cambang bauk,,Melayu Jakarta
BERES,ada esnya,air ~,
BERET,"tergores, lecet (tentang kulit dan sebagainya)",kakinya -- dicakar kucing,Melayu Jakarta
BERGO,kerudung instan yang memiliki ciri khas pet di bagian depan,,
BERIA,berkata “ya”,,
BERIK,"suku bangsa yang mendiami daerah Sarmi, Papua",,
BERIL,mineral yang sangat keras terdiri atas silikat dari berilium dan aluminium,,Kimia
BERKO,lentera listrik pada sepeda,,
BERMA,merah,,Klasik
BERMI,"tumbuhan menjalar yang hidup di air, daunnya biasa dipakai sebagai obat perut kembung dengan cara mengunyahnya sebagai lalap",,
BEROK,"sampan kecil, terbuat dari kayu, tidak bertutup, digunakan untuk mengangkut orang",mereka semua naik -- menuju pulau itu,
BERON,cari: memberon,,prakategorial
BERUI,pari gergaji,,
BERUK,"primata yang termasuk dalam keluarga monyet, memiliki ekor sangat pendek, rambut berwarna cokelat keabu-abuan dengan bagian perut berwarna putih pucat, makanan utamanya buah",,
BERUS,sikat,,Arkais
BESAN,orang tua dari menantu (baik menantu laki-laki maupun menantu perempuan),,
BESAR,lebih dari ukuran sedang,batang kayu ini sangat -- sehingga tidak sanggup tanganku memeluknya,
BESEK,tempat yang terbuat dari anyaman bambu bertutup bentuknya segi empat,,
BESER,sebentar-sebentar kencing,,
BESET,terkupas atau terkelupas (tentang kulit),luka -- lebih mudah sembuh daripada luka bakar,
BESIK,memukul  hewan agar jalannya cepat,,Gayo
BESIT,sebat (dengan rotan),,
BESOA,suku bangsa yang mendiami bagian barat daya Provinsi Sulawesi Tengah,,
BESOK,hari sesudah hari ini,"hari ini hari Kamis, -- hari Jumat",
BESOT,terkelupas (tentang kulit),,Melayu Jakarta
BESUK,melakukan kunjungan ke rumah sakit untuk menjenguk orang sakit yang dirawat,,
BESUT,gosok (logam dan sebagainya),,
BETAH,tahan mengalami suatu penderitaan (keadaan yang tidak menyenangkan),,
BETAM,"menghitam (tentang perhiasan, logam, dan sebagainya) karena sering dipakai, terlalu lama disimpan, dan sebagainya",giwangnya -- terkena keringat,Palembang
BETAS,"sobek atau retas (tentang barang tenunan, kelim, jahitan, dan sebagainya)",,
BETAU,"anak-anak yang dilahirkan oleh satu ibu, tetapi dari ayah yang berlainan, atau sebaliknya (pada suku Dayak)",,
BETEK,pagar bambu di halaman,,Jawa
BETET,"burung dalam suku Psittacidae, tubuhnya kecil, bulunya hijau, ekornya panjang",,
BETIK,pepaya,,
BETIS,"bagian kaki antara lutut dan pergelangan kaki, di belakang tulang kering",,
BETOK,"ikan yang hidup di ekosistem perairan tawar dan payau, ukurannya dapat mencapai 25 cm, tubuhnya pipih agak membulat dan bersisik keras, warnanya hijau kekuningan, tersebar luas di perairan Indonesia, India, dan Cina",,
BETON,"campuran semen, kerikil, dan pasir yang diaduk dengan air untuk tiang rumah, pilar, dinding, dan sebagainya",,
BETOT,cabut,,
BETUL,benar,"--, dia adalah kemenakan saya",
BEWOK,cambang bauk,,
BEZEL,"bingkai luar layar komputer, ponsel, atau  peralatan elektronik lainnya",,
BEZIT,menguasai atau menikmati suatu benda yang berada dalam penguasaannya hingga seolah-olah benda itu miliknya dengan tidak mempersoalkan hak milik atas benda itu sebenarnya ada pada siapa,,Hukum
BIADI,cacing kecil-kecil dalam perut,,
BIANG,"induk (tentang binatang, tumbuhan)",,
BIARA,rumah (asrama) tempat para petapa (rubiah dan sebagainya),,
BIASA,lazim,bagi masyarakat sekarang memakai sepatu sudah --,
BIAYA,"uang yang dikeluarkan untuk mengadakan (mendirikan, melakukan, dan sebagainya) sesuatu",-- sekolahnya ditanggung oleh kakaknya,
BIBEL,Alkitab,,
BIBIR,tepi (pinggir) mulut (sebelah bawah dan atas),,
BIBIT,semaian (padi dan sebagainya yang akan ditanam),-- padi itu akan dipindahkan sesudah berumur empat puluh hari,
BIBOK,sisa yang dapat dimanfaatkan kembali,,Alas
BICIK,alat yang terbuat dari tali untuk mengukur kelurusan tanaman,pasanglah -- ketika akan memindahkan bibit tanaman,Melayu Kalimantan
BICOH,pergantian giliran tidur suami dari satu istri ke istri lainnya (tentang poligami),,Melayu Kep. Riau:
BIDAH,"perbuatan atau cara yang tidak pernah dikatakan atau dicontohkan Rasulullah atau sahabatnya, kemudian dilakukan seolah-olah menjadi ajaran Islam",,Agama Islam
BIDAI,"jalinan bilah (rotan, bambu) sebagai kerai (untuk tikar, tirai penutup pintu, belat, dan sebagainya)",,
BIDAK,buah catur yang terdepan,,
BIDAL,"peribahasa atau pepatah yang mengandung nasihat, peringatan, sindiran, dan sebagainya",,Arkais
BIDAN,wanita yang mempunyai kepandaian menolong dan merawat orang melahirkan dan bayinya,,
BIDAR,perahu perang,,Klasik
BIDAS,"cari: bidasan, membidas, pembidas",,prakategorial
BIDAT,"limbah terakhir dari pengolahan sagu, berbentuk seperti serabut, dapat dijadikan pakan ternak",ambilkan sedikit -- itu untuk pakan ternak sore nanti,Melayu Riau
BIDET,tempat buang air kecil bagi wanita yang dilengkapi dengan alat pembersih,,
BIDIK,arahkan (pistol dan sebagainya) ke sasaran,,
BIDUK,"perahu kecil terbuat dari kayu, tidak berlayar, dipakai untuk menangkap ikan atau mengangkat barang-barang di sungai",,
BIDUR,bongkah timah yang beratnya sekitar 3 pon (dipakai juga untuk ukuran harga),"mahar putri, anak raja Perak, dikatakan 100 --",Klasik
BIGAS,sehat kembali,,
BIGOS,biang gosip,,Cakapan
BIGOT,orang yang tidak mendengarkan atau menghargai pendapat orang lain,,
BIHUN,"mi yang halus, putih warnanya, dibuat dari beras",,
BIJAK,selalu menggunakan akal budinya,bukan beta -- berperi,
BIJAN,wijen,,
BIJIH,"pasir, tanah, atau batuan yang mengandung cukup mineral yang berguna untuk diolah menjadi barang ekonomi seperti -- besi, -- timah",,
BIKIN,buat,anakku belajar -- origami di TK,Cakapan
BIKIR,gadis,,Klasik
BIKOI,sisa makanan yang belum sempat dimakan,,Bolaang Mongondow
BIKSI,"suku bangsa yang mendiami daerah perbatasan antara Indonesia dan Papua Nugini di Kabupaten Jayawijaya, Provinsi Papua",,
BIKSU,pendeta atau petapa pria (Buddha),,
BILAH,belahan bambu (kayu dan sebagainya) yang tipis dan panjang,pagar dari -- buluh,
BILAI,tepi dan sebagainya yang disambungkan,,Minangkabau
BILAK,"pohon yang tingginya mencapai 15 m, batang berduri kaku dan lurus, daun majemuk, berdaun tiga, bunga mengelompok putih kehijauan, harum manis, buah bani membulat telur dan berpangsa, kulit buah keras, tumbuh di tanah berawa dan tanah kering, tahan terhadap alkalinitas, daun dan buah dapat dimakan, digunakan sebagai obat, bunga untuk parfum, daging buah untuk deterjen, dan kayu untuk gagang perkakas kecil",,
BILAL,orang yang bertugas mengumandangkan azan,suara azan -- telah terdengar,Agama Islam
BILAS,cuci,,
BILAU,→ kacau balau,,
BILGA,"bagian kapal yang berada di dalam air (di tengah-tengah, antara tingkat atas dan tingkat bawah)",,Pelayaran
BILIH,"ikan air tawar yang ukurannya dapat mencapai 12 cm, tubuhnya pipih memanjang, bersisik, duri di depan sirip punggung menghadap ke depan, warna tubuh keperakan, pinggiran sirip punggung berwarna hitam, endemik Danau Singkarak",,Minangkabau
